STATE,COUNTY,STNAME,CTYNAME,Year,Population,State_Code
16,15,Idaho,Boise County,2000,6670,ID
16,17,Idaho,Bonner County,2000,36835,ID
16,19,Idaho,Bonneville County,2000,82522,ID
16,21,Idaho,Boundary County,2000,9871,ID
16,23,Idaho,Butte County,2000,2899,ID
16,25,Idaho,Camas County,2000,991,ID
16,27,Idaho,Canyon County,2000,131441,ID
16,29,Idaho,Caribou County,2000,7304,ID
16,31,Idaho,Cassia County,2000,21416,ID
16,33,Idaho,Clark County,2000,1022,ID
16,35,Idaho,Clearwater County,2000,8930,ID
16,37,Idaho,Custer County,2000,4342,ID
16,39,Idaho,Elmore County,2000,29130,ID
16,41,Idaho,Franklin County,2000,11329,ID
16,43,Idaho,Fremont County,2000,11819,ID
16,45,Idaho,Gem County,2000,15181,ID
16,47,Idaho,Gooding County,2000,14155,ID
16,49,Idaho,Idaho County,2000,15511,ID
16,51,Idaho,Jefferson County,2000,19155,ID
16,53,Idaho,Jerome County,2000,18342,ID
16,55,Idaho,Kootenai County,2000,108685,ID
16,57,Idaho,Latah County,2000,34935,ID
16,59,Idaho,Lemhi County,2000,7806,ID
16,61,Idaho,Lewis County,2000,3747,ID
16,63,Idaho,Lincoln County,2000,4044,ID
16,65,Idaho,Madison County,2000,27467,ID
16,67,Idaho,Minidoka County,2000,20174,ID
16,69,Idaho,Nez Perce County,2000,37410,ID
16,71,Idaho,Oneida County,2000,4125,ID
16,73,Idaho,Owyhee County,2000,10644,ID
16,75,Idaho,Payette County,2000,20578,ID
16,77,Idaho,Power County,2000,7538,ID
16,79,Idaho,Shoshone County,2000,13771,ID
16,81,Idaho,Teton County,2000,5999,ID
16,83,Idaho,Twin Falls County,2000,64284,ID
16,85,Idaho,Valley County,2000,7651,ID
16,87,Idaho,Washington County,2000,9977,ID
17,1,Illinois,Adams County,2000,68277,IL
17,3,Illinois,Alexander County,2000,9590,IL
17,5,Illinois,Bond County,2000,17633,IL
17,7,Illinois,Boone County,2000,41786,IL
17,9,Illinois,Brown County,2000,6950,IL
17,11,Illinois,Bureau County,2000,35503,IL
17,13,Illinois,Calhoun County,2000,5084,IL
17,15,Illinois,Carroll County,2000,16674,IL
17,17,Illinois,Cass County,2000,13695,IL
17,19,Illinois,Champaign County,2000,179669,IL
17,21,Illinois,Christian County,2000,35372,IL
17,23,Illinois,Clark County,2000,17008,IL
